,precision,recall,f1-score,support
Left Fist,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
Right Fist,0.6666666666666666,0.5714285714285714,0.6153846153846154,7.0
Both Fists,0.5,0.5714285714285714,0.5333333333333333,7.0
Both Feet,0.625,0.7142857142857143,0.6666666666666666,7.0
accuracy,0.6071428571428571,0.6071428571428571,0.6071428571428571,0.6071428571428571
macro avg,0.6145833333333333,0.6071428571428571,0.6076923076923076,28.0
weighted avg,0.6145833333333333,0.6071428571428571,0.6076923076923079,28.0
