,precision,recall,f1-score,support
Left Hand,0.5755395683453237,0.5555555555555556,0.5653710247349824,144.0
Right Hand,0.624,0.5416666666666666,0.5799256505576208,144.0
Feet,0.5524861878453039,0.6944444444444444,0.6153846153846154,144.0
Tongue,0.6030534351145038,0.5486111111111112,0.5745454545454546,144.0
accuracy,0.5850694444444444,0.5850694444444444,0.5850694444444444,0.5850694444444444
macro avg,0.5887697978262829,0.5850694444444444,0.5838066863056683,576.0
weighted avg,0.5887697978262829,0.5850694444444444,0.5838066863056682,576.0
