,loss,accuracy,val_loss,val_accuracy,lr,mov_ave_accuracy,mov_ave_val_accuracy,mov_std_accuracy,mov_std_val_accuracy,mov_ave_loss,mov_ave_val_loss,mov_std_loss,mov_std_val_loss
269,0.015409756451845169,1.0,0.3558363914489746,0.8645833134651184,1e-04,0.9979166716337204,0.8703125029802322,0.002986915416006827,0.004563695543396253,0.018649006122723223,0.35613984167575835,0.005039468536018707,0.003576423556228538
270,0.018282359465956688,1.0,0.3551844358444214,0.8645833134651184,1e-04,0.9979166716337204,0.8697916686534881,0.002986915416006827,0.004593321001888262,0.018675540527328848,0.356564898788929,0.005036069901904,0.002860848969414779
271,0.010421853512525558,1.0,0.35715535283088684,0.8645833134651184,1e-04,0.9980902820825577,0.8692708343267441,0.0030020137409769786,0.0045636982643609166,0.017833918007090686,0.35681554675102234,0.004937618858535165,0.002676030009458427
272,0.016423124819993973,1.0,0.35934802889823914,0.8715277910232544,1e-04,0.9980902820825577,0.8694444447755814,0.0030020137409769786,0.004580180349227599,0.017961251828819514,0.35693167299032214,0.004866241328841044,0.0027324202631897965
273,0.019480951130390167,1.0,0.3596290946006775,0.8715277910232544,1e-04,0.9980902820825577,0.8694444447755814,0.0030020137409769786,0.004580180349227599,0.018214024882763625,0.35719105154275893,0.004806953732332491,0.0027299460099337266
274,0.02100503258407116,0.9965277910232544,0.35471388697624207,0.8715277910232544,1e-04,0.9984375059604644,0.8692708343267441,0.002322749500536221,0.004429640880512952,0.01784910000860691,0.3571626380085945,0.004274718058199975,0.002752529983458559
275,0.015704086050391197,1.0,0.35050761699676514,0.8715277910232544,1e-04,0.9984375059604644,0.8692708343267441,0.002322749500536221,0.004429640880512952,0.017963954154402016,0.35688352286815644,0.0041837143801159845,0.0031073212039394132
276,0.014959459193050861,1.0,0.35088852047920227,0.8715277910232544,1e-04,0.9986111164093018,0.8690972238779068,0.002303202873913806,0.004266743893565856,0.017659553932026027,0.3565577298402786,0.004169742735479175,0.003366413817109541
277,0.015516187995672226,1.0,0.3494352698326111,0.8645833134651184,1e-04,0.998784726858139,0.8684027791023254,0.002270251206073329,0.003787756854328267,0.017209715815261005,0.35615738183259965,0.003881449331833149,0.003697271732427675
278,0.01232561282813549,0.9965277910232544,0.3500455617904663,0.8645833134651184,1e-04,0.998784726858139,0.8677083343267441,0.002270251206073329,0.0030861940037974806,0.01668668263591826,0.3559521079063416,0.0037986717286723143,0.003910770739361012
279,0.02017895132303238,0.9930555820465088,0.3543391227722168,0.8611111044883728,1e-04,0.998784726858139,0.8671875,0.002270251206073329,0.003271098383930007,0.01648165159858763,0.35559202581644056,0.003480670583013483,0.0037057928370559908
280,0.017298152670264244,1.0,0.35568714141845703,0.8645833134651184,1e-04,0.9989583373069764,0.8668402761220932,0.00222329854564317,0.003158591977932045,0.016266196360811593,0.3553232640028,0.003284568265873421,0.0034878191618645535
281,0.011580895632505417,1.0,0.3559928238391876,0.8645833134651184,1e-04,0.9989583373069764,0.8668402761220932,0.00222329854564317,0.003158591977932045,0.015922781685367225,0.35526202917099,0.003395553611062859,0.003464698823963049
282,0.013259869068861008,1.0,0.354801744222641,0.8645833134651184,1e-04,0.9989583373069764,0.8666666626930237,0.00222329854564317,0.0031823587568902945,0.015963064413517712,0.3553584888577461,0.0033587451367484574,0.003423440690642587
283,0.01623210683465004,1.0,0.35743701457977295,0.8645833134651184,1e-04,0.9989583373069764,0.8664930492639542,0.00222329854564317,0.0031965337455671363,0.01589639177545905,0.35567900389432905,0.0033394525455107942,0.003300759911872464
284,0.02071700431406498,0.9965277910232544,0.3594363033771515,0.8611111044883728,1e-04,0.9991319477558136,0.8663194388151169,0.0018617646504675127,0.0033843166719304822,0.015794709045439958,0.35584615021944044,0.0031550705678117935,0.003400640796034567
285,0.022515226155519485,1.0,0.3592146039009094,0.8611111044883728,1e-04,0.9991319477558136,0.8661458283662796,0.0018617646504675127,0.003553743028044206,0.016330933896824718,0.3559551626443863,0.0033352073322268495,0.003471196702475952
286,0.014831657521426678,1.0,0.36005741357803345,0.8611111044883728,1e-04,0.9991319477558136,0.8659722179174423,0.0018617646504675127,0.0037073303746696256,0.016505981888622047,0.35606645941734316,0.003155192470125508,0.003564016655929857
287,0.008901868015527725,1.0,0.36141932010650635,0.8611111044883728,1e-04,0.9991319477558136,0.8656249940395355,0.0018617646504675127,0.003819454800015226,0.016065548080950974,0.3560945361852646,0.0035468065157246743,0.0036036429311852173
288,0.017245879396796227,1.0,0.3614056408405304,0.8645833134651184,1e-04,0.9991319477558136,0.865451380610466,0.0018617646504675127,0.003783775940060386,0.016114501748234034,0.35612676441669466,0.0035559912627390784,0.0036478439602751892
289,0.010833289474248886,1.0,0.363993376493454,0.8645833134651184,1e-04,0.9991319477558136,0.865451380610466,0.0018617646504675127,0.003783775940060386,0.01588567839935422,0.3565346136689186,0.0037366349290758314,0.004028695570686396
290,0.01589374989271164,1.0,0.3678567409515381,0.8611111044883728,1e-04,0.9991319477558136,0.8652777701616288,0.0018617646504675127,0.003897568804908183,0.015766247920691968,0.35716822892427447,0.003696075784484913,0.004706091691813088
291,0.019515231251716614,0.9930555820465088,0.37679561972618103,0.8576388955116272,1e-04,0.998784726858139,0.8649305492639542,0.002270251206073329,0.004238394392687739,0.01622091680765152,0.35815024226903913,0.003567754003459283,0.006359611937634678
292,0.011063934303820133,1.0,0.3752940595149994,0.8645833134651184,1e-04,0.998784726858139,0.8645833253860473,0.002270251206073329,0.003958948256803206,0.015952957281842827,0.35894754379987714,0.003739618342151576,0.007377856268179703
293,0.017671333625912666,1.0,0.37535810470581055,0.8680555820465088,1e-04,0.998784726858139,0.8644097149372101,0.002270251206073329,0.003719499815645665,0.015862476406618954,0.3597339943051338,0.003674488044530662,0.008200997415215051
294,0.029174042865633965,0.9930555820465088,0.3724687695503235,0.8680555820465088,1e-04,0.9986111164093018,0.8642361044883728,0.0025515420820014104,0.003454823480474822,0.016270926920697093,0.3606217384338379,0.004568656962902134,0.008562530006599133
295,0.015542467124760151,1.0,0.361743301153183,0.8576388955116272,1e-04,0.9986111164093018,0.8635416597127914,0.0025515420820014104,0.003312291566710558,0.01626284597441554,0.36118352264165876,0.004569795224961805,0.008243145100156378
