,precision,recall,f1-score,support
Left Hand,0.9305555555555556,0.9305555555555556,0.9305555555555556,72.0
Right Hand,0.9054054054054054,0.9305555555555556,0.9178082191780821,72.0
Feet,0.8461538461538461,0.9166666666666666,0.8799999999999999,72.0
Tongue,0.9375,0.8333333333333334,0.8823529411764706,72.0
accuracy,0.9027777777777778,0.9027777777777778,0.9027777777777778,0.9027777777777778
macro avg,0.9049037017787018,0.9027777777777778,0.902679178977527,288.0
weighted avg,0.9049037017787018,0.9027777777777778,0.902679178977527,288.0
