,precision,recall,f1-score,support
Left Fist,0.6390134529147982,0.6375838926174496,0.6382978723404255,447.0
Right Fist,0.5793357933579336,0.6993318485523385,0.6337033299697277,449.0
Both Fists,0.5835351089588378,0.5427927927927928,0.5624270711785297,444.0
Both Feet,0.6298200514138818,0.5444444444444444,0.5840286054827175,450.0
accuracy,0.6061452513966481,0.6061452513966481,0.6061452513966481,0.6061452513966481
macro avg,0.6079261016613628,0.6060382446017563,0.6046142197428501,1790.0
weighted avg,0.6079717297120657,0.6061452513966481,0.6046829252307642,1790.0
