,precision,recall,f1-score,support
Left Hand,0.765625,0.6805555555555556,0.7205882352941176,72.0
Right Hand,0.7283950617283951,0.8194444444444444,0.7712418300653595,72.0
Feet,0.7671232876712328,0.7777777777777778,0.7724137931034483,72.0
Tongue,0.8285714285714286,0.8055555555555556,0.8169014084507044,72.0
accuracy,0.7708333333333334,0.7708333333333334,0.7708333333333334,0.7708333333333334
macro avg,0.7724286944927642,0.7708333333333333,0.7702863167284074,288.0
weighted avg,0.772428694492764,0.7708333333333334,0.7702863167284074,288.0
