,precision,recall,f1-score,support
Left Hand,0.7464788732394366,0.7361111111111112,0.7412587412587412,144.0
Right Hand,0.8450704225352113,0.8333333333333334,0.8391608391608392,144.0
Feet,0.6494252873563219,0.7847222222222222,0.710691823899371,144.0
Tongue,0.7796610169491526,0.6388888888888888,0.7022900763358778,144.0
accuracy,0.7482638888888888,0.7482638888888888,0.7482638888888888,0.7482638888888888
macro avg,0.7551589000200306,0.748263888888889,0.7483503701637073,576.0
weighted avg,0.7551589000200306,0.7482638888888888,0.7483503701637073,576.0
