,loss,accuracy,val_loss,val_accuracy,lr,mov_ave_accuracy,mov_ave_val_accuracy,mov_std_accuracy,mov_std_val_accuracy,mov_ave_loss,mov_ave_val_loss,mov_std_loss,mov_std_val_loss
146,0.2773679494857788,0.8951823115348816,0.8555230498313904,0.7048611044883728,0.00031381063,0.889876303076744,0.7090277761220932,0.00568372906699051,0.016773030969606032,0.2954520985484123,0.8596002638339997,0.011343908890336808,0.07376406573592151
147,0.28075703978538513,0.8953993320465088,0.8462842702865601,0.703125,0.00031381063,0.8903862863779068,0.7090277761220932,0.005698801530412107,0.016773030969606036,0.2938192695379257,0.8554980516433716,0.010985652611620076,0.07209019637938938
148,0.28500333428382874,0.89453125,0.7651842832565308,0.7361111044883728,0.00031381063,0.890852865576744,0.7095486104488373,0.005636721331634091,0.017431287553833455,0.29291960000991824,0.8514886885881424,0.01093388812221257,0.07472364386481031
149,0.2959972620010376,0.8895399570465088,0.7704554200172424,0.7309027910232544,0.00031381063,0.8911458343267441,0.7105902791023254,0.005403785762829263,0.018043037482036242,0.2920877575874329,0.8470927983522415,0.009994921296524607,0.07674795626161683
150,0.27650102972984314,0.8990885615348816,0.7651220560073853,0.71875,0.00031381063,0.8916775196790695,0.7109375,0.005631206656418958,0.018129695072462558,0.2907658204436302,0.844229856133461,0.010218117570219907,0.07866052750365456
151,0.2909448444843292,0.8943142294883728,0.8745758533477783,0.7083333134651184,0.00031381063,0.8920898467302323,0.7103298604488373,0.005505867454693169,0.01800269187060619,0.2898238241672516,0.8468165993690491,0.009243275936617924,0.07876520260427024
152,0.2690596282482147,0.8988715410232544,0.8587019443511963,0.7118055820465088,0.00028242957,0.8925781279802323,0.7092881947755814,0.005650710981862908,0.017269513098324533,0.28855679780244825,0.8509496539831162,0.010214854154413632,0.07709395405495906
153,0.2747577726840973,0.9012587070465088,0.9481093883514404,0.6857638955116272,0.00028242957,0.8928385466337204,0.7085069447755814,0.0059184059211619,0.017949245595306536,0.28799762278795243,0.8544032901525498,0.010639980023643903,0.07977535232686178
154,0.2785187363624573,0.8980034589767456,0.8705757856369019,0.7118055820465088,0.00028242957,0.8934244841337204,0.7094618082046509,0.005819826669892812,0.017587719184149978,0.2869249150156975,0.8525548040866852,0.010458517291072522,0.07894658104262123
155,0.28410738706588745,0.8982204794883728,0.9883086085319519,0.6857638955116272,0.00028242957,0.8937825560569763,0.7091145873069763,0.005883237160103381,0.01797923462635901,0.2862658753991127,0.8596261739730835,0.010196730430210944,0.08427575970752332
156,0.2707531154155731,0.8973524570465088,0.9061661958694458,0.7048611044883728,0.00028242957,0.8944335997104644,0.7083333373069763,0.005509971654551619,0.017806784152149282,0.2844689145684242,0.8642309367656708,0.009587206205739676,0.08417680528966055
157,0.27670130133628845,0.8971354365348816,0.8956865668296814,0.6996527910232544,0.00028242957,0.8947699725627899,0.7079861164093018,0.005459061837059908,0.017904688955681227,0.2839528307318687,0.8644709497690201,0.009712816741470136,0.08425926855951175
158,0.26533597707748413,0.8999565839767456,0.8533729910850525,0.7152777910232544,0.00028242957,0.8950954914093018,0.7089409768581391,0.005563526108707814,0.017758266299872108,0.2824883237481117,0.8601737260818482,0.010189574997187327,0.0825058567635444
159,0.27772852778434753,0.8947482705116272,0.9071924686431885,0.7118055820465088,0.00028242957,0.8957248330116272,0.7078993111848831,0.004711506526504889,0.016929314378356507,0.28119036108255385,0.8675957709550858,0.008989141495813686,0.07967650270014397
160,0.27186208963394165,0.9008246660232544,0.9102337956428528,0.6927083134651184,0.00028242957,0.8958116382360458,0.7066840320825577,0.004788051791775874,0.01710290385397485,0.28024711459875107,0.8739177197217941,0.008928515599255534,0.0777698407952522
161,0.2649545669555664,0.9040798544883728,0.8137931823730469,0.7274305820465088,0.00028242957,0.8967230975627899,0.7074652820825577,0.0045334099095145535,0.017666590552352805,0.27889098823070524,0.8724005073308945,0.009087078284294519,0.07862729119855931
162,0.2630084156990051,0.9029948115348816,0.8416703343391418,0.7274305820465088,0.0002541866,0.8968207538127899,0.7071180611848831,0.004645048755009316,0.017196274992143237,0.278150250017643,0.8753687620162964,0.009725332561445883,0.07625483399670778
163,0.2718561291694641,0.9036458134651184,0.8157809376716614,0.7291666865348816,0.0002541866,0.8971137225627899,0.7104166746139526,0.004875765772516355,0.014583339648594658,0.2778705209493637,0.8610451370477676,0.009821414112400912,0.056686295769360656
164,0.27342426776885986,0.8988715410232544,0.8292272686958313,0.7152777910232544,0.0002541866,0.897927525639534,0.7116319537162781,0.0035674001190402426,0.013909495046590906,0.27645928859710694,0.8581574082374572,0.008196734474373989,0.05676249066925012
165,0.2667493224143982,0.8990885615348816,0.8141525983810425,0.7222222089767456,0.0002541866,0.8981553912162781,0.7121527850627899,0.0034878484334605344,0.01409996294831542,0.2757694348692894,0.8565058499574661,0.00840175620321013,0.05753305852582453
166,0.2688336968421936,0.9006076455116272,0.9635255336761475,0.6840277910232544,0.0002541866,0.8984266579151153,0.711111119389534,0.003456908805530066,0.015317187143051322,0.27534272223711015,0.8619059741497039,0.008525543048849568,0.0620765964144483
167,0.25402718782424927,0.9055989384651184,0.8297986388206482,0.71875,0.0002541866,0.8989366382360459,0.711892369389534,0.0037153712978215013,0.015288380886039237,0.27400622963905336,0.8610816925764084,0.009599506781743606,0.06238723066307283
168,0.2755945026874542,0.9021267294883728,0.9258661270141602,0.7118055820465088,0.0002541866,0.8993164122104644,0.7106770932674408,0.0036329351003595144,0.014245375185527376,0.2735357880592346,0.8691157847642899,0.00927407840209074,0.05981350519808914
169,0.2632213234901428,0.9016926884651184,0.8888436555862427,0.7100694179534912,0.0002541866,0.899924048781395,0.7096354246139527,0.002886585509624106,0.013468858955815906,0.27189699113368987,0.8750351965427399,0.007963441042061457,0.05545612710996274
170,0.2596752941608429,0.9021267294883728,0.9216177463531494,0.7100694179534912,0.0002541866,0.9000759571790695,0.7092013955116272,0.0029183878959072765,0.01330704413450027,0.27105570435523985,0.882859981060028,0.008313679393737495,0.050185720633653196
171,0.2633897066116333,0.8999565839767456,0.8570326566696167,0.7152777910232544,0.0002541866,0.9003580749034882,0.709548619389534,0.0026035043114102075,0.013370314505458055,0.26967794746160506,0.88198282122612,0.007097783620287299,0.050475324088168044
