,precision,recall,f1-score,support
Left Hand,0.7048192771084337,0.8125,0.7548387096774194,144.0
Right Hand,0.8548387096774194,0.7361111111111112,0.7910447761194029,144.0
Feet,0.6388888888888888,0.7986111111111112,0.7098765432098766,144.0
Tongue,0.7264150943396226,0.5347222222222222,0.616,144.0
accuracy,0.7204861111111112,0.7204861111111112,0.7204861111111112,0.7204861111111112
macro avg,0.7312404925035911,0.7204861111111112,0.7179400072516747,576.0
weighted avg,0.7312404925035911,0.7204861111111112,0.7179400072516748,576.0
