,precision,recall,f1-score,support
Left Hand,0.8076923076923077,0.875,0.84,72.0
Right Hand,0.7763157894736842,0.8194444444444444,0.7972972972972973,72.0
Feet,0.8536585365853658,0.4861111111111111,0.6194690265486725,72.0
Tongue,0.6666666666666666,0.8611111111111112,0.7515151515151515,72.0
accuracy,0.7604166666666666,0.7604166666666666,0.7604166666666666,0.7604166666666666
macro avg,0.7760833251045061,0.7604166666666666,0.7520703688402803,288.0
weighted avg,0.7760833251045062,0.7604166666666666,0.7520703688402803,288.0
