,precision,recall,f1-score,support
Left Hand,0.9324324324324325,0.9583333333333334,0.9452054794520548,72.0
Right Hand,0.8955223880597015,0.8333333333333334,0.8633093525179857,72.0
Feet,0.8701298701298701,0.9305555555555556,0.8993288590604027,72.0
Tongue,0.9142857142857143,0.8888888888888888,0.9014084507042254,72.0
accuracy,0.9027777777777778,0.9027777777777778,0.9027777777777778,0.9027777777777778
macro avg,0.9030926012269295,0.9027777777777778,0.9023130354336671,288.0
weighted avg,0.9030926012269297,0.9027777777777778,0.9023130354336671,288.0
