,precision,recall,f1-score,support
Left Hand,0.6885245901639344,0.5833333333333334,0.631578947368421,72.0
Right Hand,0.6923076923076923,0.75,0.72,72.0
Feet,0.6444444444444445,0.8055555555555556,0.7160493827160493,72.0
Tongue,0.847457627118644,0.6944444444444444,0.7633587786259542,72.0
accuracy,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334
macro avg,0.7181835885086788,0.7083333333333335,0.7077467771776061,288.0
weighted avg,0.7181835885086788,0.7083333333333334,0.707746777177606,288.0
