,precision,recall,f1-score,support
Left Hand,0.6721311475409836,0.5694444444444444,0.6165413533834586,144.0
Right Hand,0.5961538461538461,0.4305555555555556,0.5,144.0
Feet,0.507537688442211,0.7013888888888888,0.5889212827988338,144.0
Tongue,0.5761589403973509,0.6041666666666666,0.5898305084745763,144.0
accuracy,0.5763888888888888,0.5763888888888888,0.5763888888888888,0.5763888888888888
macro avg,0.587995405633598,0.5763888888888888,0.5738232861642172,576.0
weighted avg,0.5879954056335979,0.5763888888888888,0.5738232861642172,576.0
