,precision,recall,f1-score,support
Left Hand,0.679144385026738,0.8819444444444444,0.7673716012084593,144.0
Right Hand,0.5286343612334802,0.8333333333333334,0.6469002695417789,144.0
Feet,0.9253731343283582,0.4305555555555556,0.5876777251184834,144.0
Tongue,0.7157894736842105,0.4722222222222222,0.5690376569037657,144.0
accuracy,0.6545138888888888,0.6545138888888888,0.6545138888888888,0.6545138888888888
macro avg,0.7122353385681968,0.6545138888888888,0.6427468131931219,576.0
weighted avg,0.7122353385681968,0.6545138888888888,0.6427468131931219,576.0
