,precision,recall,f1-score,support
Left Hand,0.7894736842105263,0.8333333333333334,0.8108108108108109,144.0
Right Hand,0.7302631578947368,0.7708333333333334,0.75,144.0
Feet,0.7218934911242604,0.8472222222222222,0.7795527156549521,144.0
Tongue,0.8446601941747572,0.6041666666666666,0.7044534412955465,144.0
accuracy,0.7638888888888888,0.7638888888888888,0.7638888888888888,0.7638888888888888
macro avg,0.7715726318510703,0.7638888888888888,0.7612042419403273,576.0
weighted avg,0.7715726318510703,0.7638888888888888,0.7612042419403273,576.0
